127.0.0.1, 2023-12-05 22:47:51, GET, /examples/static/images/favicon.ico, HTTP/1.1, 200, 0.000997
127.0.0.1, 2023-12-05 22:47:54, GET, /admin/default/site, HTTP/1.1, 200, 0.017981
127.0.0.1, 2023-12-05 23:07:43, GET, /, HTTP/1.1, 303, 0.000000
127.0.0.1, 2023-12-05 23:07:43, GET, /welcome/default/index, HTTP/1.1, 200, 0.013960
127.0.0.1, 2023-12-05 23:07:43, GET, /welcome/static/images/favicon.png, HTTP/1.1, 200, 0.000998
127.0.0.1, 2023-12-05 23:08:07, GET, /, HTTP/1.1, 303, 0.002991
127.0.0.1, 2023-12-05 23:08:07, GET, /welcome/default/index, HTTP/1.1, 200, 0.118326
127.0.0.1, 2023-12-05 23:08:07, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2023-12-05 23:08:07, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2023-12-05 23:08:16, GET, /admin/default/site, HTTP/1.1, 200, 0.167549
127.0.0.1, 2023-12-05 23:08:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2023-12-05 23:08:24, GET, /SIP/default/index, HTTP/1.1, 200, 0.057844
127.0.0.1, 2023-12-05 23:08:24, GET, /SIP/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000998
127.0.0.1, 2023-12-05 23:08:24, GET, /SIP/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000997
127.0.0.1, 2023-12-05 23:08:24, GET, /SIP/static/js/calendar.js, HTTP/1.1, 200, 0.001994
127.0.0.1, 2023-12-05 23:08:24, GET, /SIP/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001994
127.0.0.1, 2023-12-05 23:08:24, GET, /SIP/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.000997
127.0.0.1, 2023-12-05 23:08:24, GET, /SIP/static/js/jquery.js, HTTP/1.1, 200, 0.002990
127.0.0.1, 2023-12-05 23:08:24, GET, /SIP/static/js/web2py.js, HTTP/1.1, 200, 0.000998
93
127.0.0.1, 2023-12-05 23:08:24, GET, /SIP/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.000996
127.0.0.1, 2023-12-05 23:08:24, GET, /SIP/static/images/background.jpg, HTTP/1.1, 404, 0.000000
